creatorID,name
506,"and an interview with the photographer by Karin Breuer Mark Klett ; with Michael Lundgren ; essays by Philip L. Fradkin and Rebecca Solnit"
507,"Mark Klett ; essay by Gregory McNamee"
508,"Aline Diépois & Thomas Gizolme"
509,"Alec Soth & Brad Zellar"
510,"David Schulz"
511,"Peter Happel Christian; [text by Liz Sales"
512,"poem by] Gary Snyder ; book was made by Peter and Donna Thomas ; [afterword by] Tom Killion"
513,"Michelle Stuart"
514,"Suzanne Lacy"
515,"Fortunato Depero"
516,"Allan Kaprow"
517,"Douglas Huebler"
518,"Alice Aycock"
519,"Carolee Schneemann"
520,"Henry Greenhow"
521,"Michael Harvey"
522,"Marcia Resnick"
523,"Martine d'Argembeau"
524,"Fernand Spillemaeckers"
525,"Les Levine"
526,"Susan Elizabeth King"
527,"Calif.) Women's Graphic Center (Los Angeles"
528,"Edda Renouf"
529,"Constance DeJong"
530,"Eve Sonneman"
531,"Carole Condé"
532,"Karl Beveridge"
533,"Daniel Buren"
534,"Mel Bochner"
535,"Robert Smithson"
536,"Bruce Nauman"
537,"John Baldessari"
538,"Don Celender"
539,"N.Y.) O.K. Harris Gallery (New York"
540,Gilbert
541,George
542,"Michael Snow"
543,"Yves Gevaert"
544,"Hamburg Hossmann"
545,"Madeline Gins"
546,"Shūsaku, 1936-2010 Arakawa"
547,"Vaughan Rachel"
548,"Robert, 1936- Barry"
549,"Jan Dibbets"
550,"Maurice Lemaître"
551,"Eduardo Paolozzi"
552,"Joseph Kosuth"
553,"Jerry, 1936- McMillan"
554,"Mason Williams"
555,"Kunsthalle Bern"
556,"Emmett Williams"
557,"Fred Escher"
558,"Robert Leverant"
559,"Jim Dine"
560,"Ron Padgett"
561,"Leslie, 1944- King-Hammond"
562,"Michael Rosenfeld Gallery"
563,"Anthony Gerace"
564,"Laura May Todd"
565,"Aint-Bad (Publisher)"
566,"Mary, 1933- Frank"
567,"Eakins Press Foundation"
568,"Helen, 1909-1993 Adam"
569,"James, 1974- Maynard"
570,"Alison (Alison Whitney) Fraser"
571,"Lewis Ellingham"
572,"Samuel R. Delany"
573,"Robert Hershon"
574,"Kristin Prevallet"
575,"Further Other Book Works"
576,"Cuneiform Press"
577,"Sandu Publishing Co."
578,"Ines Goldbach"
579,"Hansmartin Siegrist"
580,"Germano Celant"
581,"Antonella Soldaini"
582,"Galleria nazionale d'arte moderna (Italy)"
583,"John, 1927-2017 Ashbery"
584,"Mark Polizzotti"
585,"John, 1950- Yau"
586,"Ray, 1927-1995 Johnson"
587,"Donna M. De Salvo"
588,"Catherine Gudis"
589,"Joyce Kozloff"
590,"Barbara Pollack"
591,"Richard Brereton"
592,"Caroline, 1966- Roberts"
593,"Aaron, 1969- Rose"
594,"Josée Bélisle"
595,"Wangechi Mutu"
596,"Musée d'art contemporain de Montréal"
597,"Carol M. Armstrong"
598,"David C. Banash"
599,"Yasufumi Nakamori"
600,"Graham Bader"
601,"Houston Museum of Fine Arts"
602,"Sarah Tulloch"
603,"Dennis Busch"
604,"Silke Krohn"
605,"Steven Lindberg"
606,"Arden, 1947- Reed"
607,"Mary Neumuth Mito"
608,"Dieter, 1971- Buchhart"
609,"Galerie Hauser & Wirth"
610,"Hannah, 1889-1978 Höch"
611,"Alma-Elisa Kittner"
612,"Brian Currid"
613,"Dennis H. Busch"
614,"Noelia Hobeika"
615,"Anna Sinofzik"
616,"Evans-Tibbs Collection"
617,"Mark Ormond"
618,"Robert, 1925-2008 Rauschenberg"
619,"John and Mable Ringling Museum of Art"
620,"Richard, 1949- Armstrong"
621,"Whitney Museum of American Art"
622,"Calif.) Museum of Contemporary Art (Los Angeles"
623,"Elizabeth Hayt"
624,"Kent Gallery"
625,"Peter Blake About Collage. Exhibition (2000 : Tate Gallery Liverpool)"
626,"Natalie Rudd"
627,"Peter, 1932- Blake"
628,"Tate Gallery Liverpool"
629,"Alexis, 1949- Smith"
630,"Augusto Arbizo"
631,"Belinda Marcus"
632,"Amy Gerstler"
633,"Lawrence Rubin.Greenberg Van Doren.Fine Art"
634,"Robert Rosenblum"
635,"1943- Gilbert"
636,"1942- George"
637,"Gilbert & George"
638,"Robert M. Murdock"
639,"Elenio, 1960- Pico"
640,"Comuna del Lápiz japonés"
641,"Amy, 1973- Wilson"
642,"Visual Studies Workshop"
643,"Anne George"
644,"Ann E. Kalmbach"
645,"Tana Kellner"
646,"Carrie Mae, 1953- Weems"
647,"CEPA Gallery"
648,"Johanna, 1952- Drucker"
649,"Granary Books (Firm)"
650,"Druckwerk (Press)"
651,"Hirsch Foundation"
652,"Leandro, 1938- Katz"
653,"Nexus Press"
654,"Andrew, 1959- Forster"
655,"Bill, 1943- Burke"
656,"Cay Sophie Rabinowitz"
657,"Lewis, 1949- Koch"
658,"Bruno Munari"
659,"Deborah, 1948- Small"
660,"Maggie Jaffe"
661,"Ann Fessler"
662,"Christopher Wool"
663,"Mark, 1950- Lere"
664,"Tony Rickaby"
665,"Irene Shwachman"
666,"Michael, 1958- Klauke"
667,"M. F. Porges"
668,"Jas Duke"
669,"Peter Lyssiotis"
670,"Vivienne Mehes"
671,"Jacki Apple"
672,"Lawrence Weiner"
673,"Carl, 1935- Andre"
674,"Sol, 1928-2007 LeWitt"
675,"Robert, 1931-2018 Morris"
676,"Seth, 1941-2013 Siegelaub"
677,"David, 1911-1960 Park"
678,"Paul Chadbourne, 1924-2004 Mills"
679,"Miriam, 1923-2015 Schapiro"
680,"Walker Art Center"
681,"Minnesota Center for Book Arts"
682,"Holly Anderson"
