lib1Key,twinKey,twinLib,method,confidence,review,lib1Title,twinTitle,decision,notes
E4K7PL4T,W53AH9P7,3,fuzzy,0.990,,Artists' book,Artists' book,unsure,we have two books with the same title with and without apostrophe and even more where that is the title but in paraentheticals
XVHLYVHD,8TK3B6UX,3,fuzzy,0.990,,Fer : una fábula encendida y atolandrada.,Fer : una fábula encendida y atolandrada.,,
BBS6NWT3,MZST6UEM,3,fuzzy,0.990,,War cut,War cut,,
KDU6G368,WYK398PF,3,fuzzy,0.990,,Stupa : construit et non construit = Stupa : built and unbuilt,Stupa : construit et non construit = Stupa : built and unbuilt,,
ZR3EVKZK,2YERIMK2,3,fuzzy,0.990,,The Tower of the Winds.,The Tower of the Winds,,
Q9FZABYB,PQM8PQVD,3,fuzzy,0.990,,Zelda reflects.,Zelda reflects.,,
SBH8W73W,DRXZALEB,3,fuzzy,0.990,,Turn over darling--,Turn over darling--,,
DFWYZM67,QB7YWDTD,3,fuzzy,0.990,,Will happiness find me?,Will happiness find me?,,
7BDVQGI4,ZVZEXSPQ,3,fuzzy,0.990,,Nets,Nets,,
3B5FYHRQ,PZ4SHSWT,3,fuzzy,0.990,,En el último sendero el iniciado piensa,En el último sendero el iniciado piensa,,
V9XTTKYM,7FR428K6,3,fuzzy,0.990,,Well-heeled,Well-heeled,,
A92FKJZ9,QMKSPNK3,3,fuzzy,0.990,,Inside world.,Inside world.,,
XP8Q896Z,MBL4XA5B,3,fuzzy,0.990,,American English,American English,,
QJXCBLUI,IV6X7XZM,3,fuzzy,0.990,,Worldwise,Worldwise,,
CIMEKKTL,JNRL9L42,3,fuzzy,0.990,,How Havana stole from New York the idea of Cuban art,How Havana stole from New York the idea of Cuban art,,
W8GSJ37L,PZPPQ3IY,3,fuzzy,0.990,,Jerk,Jerk,,
SJWFU36R,2YMWW5GN,3,fuzzy,0.990,,Romanov,Romanov,,
PCWAH9NG,GU98BE9K,3,fuzzy,0.990,,"Scott Joplin, Maple leaf rag","Scott Joplin, Maple leaf rag",,
2D9PRTRQ,4EZIC3WX,3,fuzzy,0.990,,Serif im,Serif im,,
US4EHVZK,8PUSBIXM,3,fuzzy,0.990,,Dr. Ameisenhaufen's fauna,Dr. Ameisenhaufen's fauna,,
ITFVWI5E,W8CEVX5V,3,fuzzy,1.000,,Boundless,Boundless,,
29L4MT3D,LDRCMRSX,3,fuzzy,0.990,,Insomnia.,Insomnia.,,
7J8ECK32,K8G47JKD,3,fuzzy,0.990,,"The Pigs : Portugal, Italy, Greece and Spain through the eyes of the economists = Portugal, Italia, Grecia y España vistas por los economistas","The Pigs : Portugal, Italy, Greece and Spain through the eyes of the economists = Portugal, Italia, Grecia y España vistas por los economistas",,
JTVT9FA6,YKLIS4G8,3,fuzzy,0.990,,2013,2013,,
MFS2JKMD,8ABPWW6Z,3,fuzzy,0.990,,Broken streets of my city = Las calles rotas de mi ciudad,Broken streets of my city = Las calles rotas de mi ciudad,,
S72T3HKR,U6KMRMDG,3,fuzzy,0.990,,Paisajes históricos urbanos de la ciudad de Matanzas,Paisajes históricos urbanos de la ciudad de Matanzas,,
UKQCWQW5,P3MC8LVE,3,fuzzy,0.990,,De la memoria : glosa para Eliseo Diego,De la memoria : glosa para Eliseo Diego,,
6AHEL62E,3XZCC9CU,3,fuzzy,0.990,,El partido de José Marti,El partido de José Marti,,
IS69FLWZ,VT833RRH,3,fuzzy,0.990,,Opus ciudad,Opus ciudad,,
G47YQHRP,UIXK9R42,3,fuzzy,0.990,,"Era hombre, era mito, era bestia = Man, myth, beast","Era hombre, era mito, era bestia = Man, myth, beast",,
9U43YTJ3,5IAMT5AG,3,fuzzy,0.990,,Equilibristas,Equilibristas,,
SWUH8WI3,KIW88E9A,3,fuzzy,0.990,,Todo es aluvión,Todo es aluvión,,
NRILB8GZ,YX7BXEWX,3,fuzzy,0.990,,"Como nieve en Sevilla, o, Sobre la depresión del 10","Como nieve en Sevilla, o, Sobre la depresión del 10",,
T22PU7LS,DMJGW4DV,3,fuzzy,0.990,,Asul,Asul,,
TUTWFGRR,6IHX7NMK,3,fuzzy,0.990,,Peluquería,Peluquería,,
TNXPPZZV,RVXU6YUA,3,fuzzy,0.990,,Ruta 23,Ruta 23,,
WHMM4CXE,ZGM5YC4Y,3,fuzzy,0.990,,Amigos y objetos preferidos,Amigos y objetos preferidos,,
LYIRKDR3,8QUUL6WS,3,fuzzy,0.990,,Verano 13,Verano 13,,
R225VLV5,FBITRLRL,3,fuzzy,0.990,,Cuadernos y márgenes = Notebooks and margins,Cuadernos y márgenes = Notebooks and margins,,
T4Q8JGT8,BVYXGP2J,3,fuzzy,0.990,,530 : sá veldur sem á heldur,530 : sá veldur sem á heldur,,
TTB3LDMC,HI6RR8SF,3,fuzzy,0.990,,7 grabados mexicanos,7 grabados mexicanos,,
5NPQWAED,FB75FLIE,3,fuzzy,0.990,,Poema mexicano,Poema mexicano,,
JPCRGULS,IFTI6EUU,2,fuzzy,0.990,,Old man and sea,Old man and sea,same,
